,time,HRF
2562,2.562,0.17497574196968405
2563,2.563,0.17503851656784422
2564,2.564,0.17510118477255243
2565,2.565,0.17516374655841313
2566,2.566,0.17522620190019803
2567,2.567,0.17528855077293623
2568,2.568,0.17535079315186328
2569,2.569,0.17541292901246647
2570,2.57,0.1754749583304228
2571,2.571,0.17553688108168283
2572,2.572,0.17559869724239138
2573,2.573,0.17566040678895356
2574,2.574,0.1757220096979622
2575,2.575,0.17578350594624811
2576,2.576,0.1758448955108904
2577,2.577,0.17590617836920158
2578,2.578,0.1759673544986335
2579,2.579,0.17602842387697515
2580,2.58,0.17608938648221498
2581,2.581,0.17615024229251003
2582,2.582,0.17621099128628634
2583,2.583,0.17627163344220698
2584,2.584,0.17633216873912314
2585,2.585,0.17639259715613614
2586,2.586,0.17645291867257168
2587,2.587,0.17651313326798368
2588,2.588,0.17657324092211685
2589,2.589,0.17663324161498067
2590,2.59,0.17669313532679737
2591,2.591,0.1767529220380061
2592,2.592,0.1768126017292723
2593,2.593,0.17687217438145647
2594,2.594,0.17693163997573247
2595,2.595,0.17699099849336578
2596,2.596,0.1770502499159523
2597,2.597,0.1771093942252818
2598,2.598,0.17716843140333488
2599,2.599,0.17722736143233847
2600,2.6,0.17728618429473603
2601,2.601,0.17734489997322056
2602,2.602,0.17740350845067082
2603,2.603,0.1774620097101883
2604,2.604,0.17752040373511863
2605,2.605,0.177578690509016
2606,2.606,0.17763687001565973
2607,2.607,0.17769494223903337
2608,2.608,0.1777529071633483
2609,2.609,0.17781076477306912
2610,2.61,0.17786851505284526
2611,2.611,0.17792615798754347
2612,2.612,0.1779836935622616
2613,2.613,0.17804112176232934
2614,2.614,0.17809844257325608
2615,2.615,0.17815565598084773
2616,2.616,0.17821276197103172
2617,2.617,0.1782697605300275
2618,2.618,0.17832665164423053
2619,2.619,0.17838343530027648
2620,2.62,0.17844011148501177
2621,2.621,0.17849668018548878
2622,2.622,0.17855314138903686
2623,2.623,0.17860949508311177
2624,2.624,0.17866574125546597
2625,2.625,0.17872187989402144
2626,2.626,0.17877791098689158
2627,2.6270000000000002,0.1788338345225116
2628,2.628,0.17888965048945188
2629,2.629,0.17894535887649643
2630,2.63,0.17900095967267304
2631,2.6310000000000002,0.17905645286718763
2632,2.632,0.1791118384495711
2633,2.633,0.17916711640940675
2634,2.634,0.17922228673660587
2635,2.6350000000000002,0.17927734942126955
2636,2.636,0.17933230445370626
2637,2.637,0.17938715182446174
2638,2.638,0.17944189152424603
2639,2.6390000000000002,0.17949652354402487
2640,2.64,0.1795510478749766
2641,2.641,0.17960546450849318
2642,2.642,0.1796597734361344
2643,2.6430000000000002,0.17971397464974553
2644,2.644,0.17976806814134855
2645,2.645,0.17982205390314612
2646,2.646,0.17987593192763354
2647,2.6470000000000002,0.179929702207454
2648,2.648,0.17998336473548465
2649,2.649,0.18003691950479983
2650,2.65,0.18009036650871968
2651,2.6510000000000002,0.18014370574075309
2652,2.652,0.18019693719460614
2653,2.653,0.1802500608642339
2654,2.654,0.18030307674374557
2655,2.6550000000000002,0.18035598482756246
2656,2.656,0.18040878511018132
2657,2.657,0.180461477586437
2658,2.658,0.18051406225129196
2659,2.6590000000000003,0.1805665390999424
2660,2.66,0.18061890812779094
2661,2.661,0.18067116933049665
2662,2.662,0.18072332270382685
2663,2.6630000000000003,0.18077536824386717
2664,2.664,0.18082730594685648
